"","Date","Seed","Learner","Hyper_Parameter","Imputing","Time","Resampling_folds","CV_Score","Comment","DistrictSplit","District","Combined_Score"
"307",2024-02-20,442111,"regr.catboost","list(loss_function = ""RMSE"", logging_level = ""Silent"", thread_count = 6, allow_writing_files = FALSE, save_snapshot = FALSE, iterations = 586, learning_rate = 0.0602060549485031, depth = 10, random_strength = 1.11658951523714, grow_policy = ""SymmetricTree"")","hot deck",26.109999999986,5,388.477222092167,"feature selection",TRUE,"vaishali","311.152001001851"
"308",2024-02-20,442113,"regr.catboost","list(loss_function = ""RMSE"", logging_level = ""Silent"", thread_count = 6, allow_writing_files = FALSE, save_snapshot = FALSE, iterations = 213, learning_rate = 0.0611331620858982, depth = 7, random_strength = 1.34688454447314, grow_policy = ""Depthwise"")","hot deck",1.01000000000931,5,271.597868168122,"feature selection",TRUE,"gaya","308.118042281048"
"309",2024-02-20,442113,"regr.catboost","list(loss_function = ""RMSE"", logging_level = ""Silent"", thread_count = 6, allow_writing_files = FALSE, save_snapshot = FALSE, iterations = 559, learning_rate = 0.0344715695385821, depth = 11, random_strength = 1.16041878284886, grow_policy = ""SymmetricTree"")","hot deck",43.5599999999977,5,232.39713773237,"feature selection",TRUE,"jamui","308.118042281048"
"310",2024-02-20,442113,"regr.catboost","list(loss_function = ""RMSE"", logging_level = ""Silent"", thread_count = 6, allow_writing_files = FALSE, save_snapshot = FALSE, iterations = 426, learning_rate = 0.106609547173139, depth = 8, random_strength = 0.573488258291036, grow_policy = ""Depthwise"")","hot deck",21.4900000000489,5,325.987075966577,"feature selection",TRUE,"nalanda","308.118042281048"
"311",2024-02-20,442113,"regr.catboost","list(loss_function = ""RMSE"", logging_level = ""Silent"", thread_count = 6, allow_writing_files = FALSE, save_snapshot = FALSE, iterations = 665, learning_rate = 0.0304247217520606, depth = 11, random_strength = 1.39560876064934, grow_policy = ""SymmetricTree"")","hot deck",34.6499999999651,5,378.063322280794,"feature selection",TRUE,"vaishali","308.118042281048"
"312",2024-02-20,442116,"regr.catboost","list(loss_function = ""RMSE"", logging_level = ""Silent"", thread_count = 6, allow_writing_files = FALSE, save_snapshot = FALSE, iterations = 336, learning_rate = 0.0128394583519548, depth = 9, random_strength = 0.5856986080762, grow_policy = ""SymmetricTree"")","hot deck",1.89000000001397,5,279.2690215638,"feature selection",TRUE,"gaya","311.566710191559"
"313",2024-02-20,442116,"regr.catboost","list(loss_function = ""RMSE"", logging_level = ""Silent"", thread_count = 6, allow_writing_files = FALSE, save_snapshot = FALSE, iterations = 292, learning_rate = 0.0460481973271817, depth = 14, random_strength = 1.10636430140585, grow_policy = ""Depthwise"")","hot deck",44.8300000000163,5,230.119958583318,"feature selection",TRUE,"jamui","311.566710191559"
"314",2024-02-20,442116,"regr.catboost","list(loss_function = ""RMSE"", logging_level = ""Silent"", thread_count = 6, allow_writing_files = FALSE, save_snapshot = FALSE, iterations = 203, learning_rate = 0.0660336672677659, depth = 13, random_strength = 0.529195277485996, grow_policy = ""Depthwise"")","hot deck",30.4099999999744,5,318.1490145848,"feature selection",TRUE,"nalanda","311.566710191559"
"315",2024-02-20,442116,"regr.catboost","list(loss_function = ""RMSE"", logging_level = ""Silent"", thread_count = 6, allow_writing_files = FALSE, save_snapshot = FALSE, iterations = 612, learning_rate = 0.0647909703582991, depth = 11, random_strength = 1.30232571088709, grow_policy = ""SymmetricTree"")","hot deck",33.0800000000163,5,395.55659869955,"feature selection",TRUE,"vaishali","311.566710191559"
"316",2024-02-20,442120,"regr.catboost","list(loss_function = ""RMSE"", logging_level = ""Silent"", thread_count = 6, allow_writing_files = FALSE, save_snapshot = FALSE, iterations = 567, learning_rate = 0.0383144555706531, depth = 6, random_strength = 0.66601537168026, grow_policy = ""SymmetricTree"")","hot deck",0.809999999997672,5,273.217065003926,"feature selection",TRUE,"gaya","315.02296027409"
